id,latitude,longitude,price,,,,,,,,,
15428715,1.27762,103.78745,65,,,,,,,,,
15430456,1.35563,103.96517,80,,,,,,,,,
15441196,1.30983,103.86232,59,,,,,,,,,
15454153,1.35488,103.96519,198,,,,,,,,,
15455706,1.30285,103.79575,100,,,,,,,,,
15475788,1.31348,103.86046,255,,,,,,,,,
15487894,1.3085,103.86112,49,,,,,,,,,
15492056,1.31212,103.86059,284,,,,,,,,,
15508557,1.34724,103.74834,86,,,,,,,,,
15538540,1.31548,103.8821,49,,,,,,,,,
15539906,1.31982,103.85761,25,,,,,,,,,
15544996,1.47115,103.76966,16,,,,,,,,,
15589669,1.34358,103.95383,200,,,,,,,,,
15619288,1.3093,103.8588,255,,,,,,,,,
15634389,1.31165,103.86019,255,,,,,,,,,
15651261,1.27735,103.83875,45,,,,,,,,,
15687109,1.37451,103.87284,200,,,,,,,,,
15722252,1.31204,103.93769,100,,,,,,,,,
15727280,1.31215,103.86168,284,,,,,,,,,
15749275,1.31188,103.85991,255,,,,,,,,,
15765810,1.33537,103.84462,50,,,,,,,,,
15773382,1.32257,103.84395,65,,,,,,,,,
15775439,1.37466,103.76596,38,,,,,,,,,
15775531,1.45152,103.81413,28,,,,,,,,,
15790995,1.44814,103.81647,35,,,,,,,,,
15792137,1.28156,103.84489,163,,,,,,,,,
15792808,1.28243,103.84677,164,,,,,,,,,
15813099,1.30933,103.84064,200,,,,,,,,,
15850202,1.39892,103.87283,71,,,,,,,,,
15893111,1.30926,103.80315,55,,,,,,,,,
15918822,1.29934,103.78719,554,,,,,,,,,
15919067,1.29759,103.78741,523,,,,,,,,,
15919162,1.29828,103.78922,514,,,,,,,,,
15933531,1.283,103.84175,45,,,,,,,,,
15978100,1.31708,103.93429,89,,,,,,,,,
15991345,1.31268,103.83774,70,,,,,,,,,
16005440,1.39828,103.91404,85,,,,,,,,,
16006904,1.3114,103.83911,79,,,,,,,,,
16007139,1.31234,103.84297,79,,,,,,,,,
16036564,1.34159,103.95805,89,,,,,,,,,
16044788,1.30641,103.84045,106,,,,,,,,,
16054752,1.34313,103.68701,55,,,,,,,,,
16057988,1.2803,103.78528,388,,,,,,,,,
